VAIXELLNOM,Fuel_Type,MMSI,IMO
ADVENTURE OF THE SEAS,MDO/MGO,311263000,9167227
AEGEAN ODYSSEY,MDO/MGO,374757000,7225910
AIDAAURA,MDO/MGO,,
AIDABELLA,MDO/MGO,,
AIDABLU,MDO/MGO,,
AIDACOSMA,LNG,247435300,9781877
AIDADIVA,MDO/MGO,247187700,9334856
AIDAPERLA,MDO/MGO,,
AIDASTELLA,MDO/MGO,247322800,9601132
ALBATROS,MDO/MGO,,
AMADEA,MDO/MGO,,
AMSTERDAM*,MDO/MGO,,
ANTHEM OF THE SEAS,MDO/MGO,311000274,9656101
ARCADIA,MDO/MGO,,
ARTANIA,MDO/MGO,,
ARVIA,LNG,232040520,9849693
ASTORIA,MDO/MGO,,
AURORA,MDO/MGO,310556000,9169524
AZAMARA JOURNEY,MDO/MGO,538012045,9200940
AZAMARA ONWARD,MDO/MGO,229765000,9187887
azamara pursuit,MDO/MGO,248762000,9210220
AZAMARA QUEST,MDO/MGO,256216000,9210218
AZURA,MDO/MGO,,
BERLIN,MDO/MGO,,
BLACK WATCH,MDO/MGO,,
BOREALIS,MDO/MGO,311000987,9122552
BOUDICCA,MDO/MGO,309964000,7218395
BRILLIANCE OF THE SEAS,MDO/MGO,,
BRITANNIA,MDO/MGO,,
CARNIVAL GLORY,MDO/MGO,357659000,9198367
CARNIVAL LEGEND,MDO/MGO,311001094,9224726
CELEBRITY APEX,MDO/MGO,215105000,9838383
CELEBRITY ASCENT,MDO/MGO,256191000,9838400
CELEBRITY CONSTELLATION,MDO/MGO,249046000,9192399
CELEBRITY EQUINOX,MDO/MGO,249667000,9372456
CELEBRITY INFINITY,MDO/MGO,249048000,9189421
CELEBRITY REFLECTION,MDO/MGO,,
CELEBRITY SILHOUETTE,MDO/MGO,248939000,9451094
CHRISTINA O,MDO/MGO,248383000,8963818
CLIO,MDO/MGO,249596000,9159830
CLUB MED 2,MDO/MGO,227194000,9007491
CORINTHIAN,MDO/MGO,249556000,8708672
COSTA DELIZIOSA,MDO/MGO,247282900,9398917
COSTA DIADEMA,MDO/MGO,247353700,9636888
COSTA FASCINOSA,MDO/MGO,247313500,9479864
COSTA FAVOLOSA,MDO/MGO,247311100,9479852
COSTA FIRENZE,MDO/MGO,352003546,9801691
COSTA FORTUNA,MDO/MGO,247094800,9239783
COSTA LUMINOSA,MDO/MGO,,
COSTA MAGICA*,MDO/MGO,,
COSTA MEDITERRANEA,MDO/MGO,,
COSTA PACIFICA,MDO/MGO,247258100,9378498
COSTA SMERALDA,LNG,247391900,9781889
COSTA TOSCANA,LNG,247431200,9781891
CROWN PRINCESS,MDO/MGO,,
CRYSTAL SYMPHONY,MDO/MGO,309168000,9066667
DISNEY DREAM,MDO/MGO,311042900,9434254
DISNEY MAGIC,MDO/MGO,,
EMERALD SAKARA,MDO/MGO,311001261,9948827
EUROPA,MDO/MGO,215767000,9183855
EUROPA 2,MDO/MGO,,
EVRIMA,MDO/MGO,215001000,9823687
EXPLORA I,MDO/MGO,256389000,9869875
EXPLORA II,MDO/MGO,256798000,9869887
EXPLORER OF THE SEAS,MDO/MGO,311316000,9161728
FREEDOM OF THE SEAS,MDO/MGO,,
HAMBURG,MDO/MGO,309908000,9138329
HANSEATIC NATURE,MDO/MGO,215768000,9817133
HEBRIDEAN SKY,MDO/MGO,,
ILMA,MDO/MGO,256343000,9967586
INDEPENDENCE OF THE SEAS,MDO/MGO,,
INSIGNIA,MDO/MGO,,
IONA,LNG,232025845,9826548
ISLAND PRINCESS,MDO/MGO,310384000,9230402
ISLAND SKY,MDO/MGO,,
JEWEL OF THE SEAS,MDO/MGO,,
KONINGSDAM,MDO/MGO,,
LA BELLE DES OCEANS,MDO/MGO,205788000,8800195
LE DUMONT D'URVILLE,MDO/MGO,578001200,9814052
LE LYRIAL,MDO/MGO,,
LE PONANT,MDO/MGO,,
LEGEND OF THE SEAS,MDO/MGO,,
MAJESTIC PRINCESS,MDO/MGO,,
MARELLA DISCOVERY 2,MDO/MGO,311378000,9070620
MARELLA EXPLORER 2,MDO/MGO,249054000,9072446
MARELLA VOYAGER,MDO/MGO,249053000,9106302
MARINA,MDO/MGO,,
MARINA,MDO/MGO,538003668,9438066
MEIN SCHIFF 1,MDO/MGO,248513000,9783564
MEIN SCHIFF 2,MDO/MGO,248956000,9783576
MEIN SCHIFF 3,MDO/MGO,,
MEIN SCHIFF 4,MDO/MGO,229678000,9678408
MEIN SCHIFF 5,MDO/MGO,,
MSC ARMONIA,MDO/MGO,357281000,9210141
MSC DIVINA,MDO/MGO,373178000,9585285
MSC FANTASIA,MDO/MGO,370648000,9359791
MSC GRANDIOSA,MDO/MGO,215325000,9803613
MSC LIRICA,MDO/MGO,356042000,9246102
MSC MAGNIFICA,MDO/MGO,352594000,9387085
MSC MERAVIGLIA,MDO/MGO,,
MSC MUSICA,MDO/MGO,352003000,9320087
MSC ORCHESTRA,MDO/MGO,372497000,9320099
MSC POESIA,MDO/MGO,355931000,9387073
MSC PREZIOSA,MDO/MGO,,
MSC SEASIDE,MDO/MGO,248392000,9745366
MSC SEAVIEW,MDO/MGO,248717000,9745378
MSC SPLENDIDA,MDO/MGO,357698000,9359806
MSC VIRTUOSA,MDO/MGO,215610000,9803625
MSC WORLD EUROPA,LNG,256070000,9837420
NATIONAL GEOGRAPHIC EXPLORER,MDO/MGO,309336000,8019356
NAUTICA,MDO/MGO,,
NAVIGATOR OF THE SEA,MDO/MGO,,
NIEUW STATENDAM,MDO/MGO,244140580,9767106
NORWEGIAN DAWN,MDO/MGO,311307000,9195169
NORWEGIAN EPIC,MDO/MGO,,
NORWEGIAN ESCAPE,MDO/MGO,311000341,9677076
NORWEGIAN GETAWAY,MDO/MGO,311050900,9606924
NORWEGIAN PEARL,MDO/MGO,309653000,9342281
NORWEGIAN PRIMA,LNG,311001059,9823986
NORWEGIAN SKY,MDO/MGO,308865000,9128532
NORWEGIAN SPIRIT,MDO/MGO,,
NORWEGIAN STAR,MDO/MGO,,
NORWEGIAN VIVA,LNG,311001127,9823998
OASIS OF THE SEAS,MDO/MGO,311020600,9383936
OCEAN DREAM,MDO/MGO,,
OCEAN MAJESTY,MDO/MGO,,
OCEAN NOVA,MDO/MGO,,
OCEANA,MDO/MGO,,
ODYSSEY OF THE SEAS,MDO/MGO,311000912,9795737
OOSTERDAM,MDO/MGO,245417000,9221281
ORIANA,MDO/MGO,,
PACIFIC PRINCESS,MDO/MGO,,
PRINSENDAM,MDO/MGO,,
QUEEN ANNE,MDO/MGO,310835000,9839399
QUEEN ELIZABETH,MDO/MGO,,
QUEEN VICTORIA,MDO/MGO,310624000,9320556
RENAISSANCE,MDO/MGO,310805000,8919257
RESILIENT LADY,MDO/MGO,311001056,9805348
RHAPSODY OF THE SEAS,MDO/MGO,,
RIVIERA,MDO/MGO,,
RIVIERA,MDO/MGO,311000807,9438078
ROTTERDAM,MDO/MGO,,
ROYAL CLIPPER,MDO/MGO,,
ROYAL PRINCESS,MDO/MGO,,
SAGA PEARL II,MDO/MGO,,
SAGA SAPPHIRE,MDO/MGO,,
SCARLET LADY,LNG,311000995,9804801
SCENIC ECLIPSE,MDO/MGO,215855000,9797371
SEA CLOUD II,MDO/MGO,248953000,9171292
SEA CLOUD SPIRIT,MDO/MGO,311000585,9483712
SEABOURN ENCORE,MDO/MGO,,
SEABOURN ODYSSEY,MDO/MGO,,
SEABOURN OVATION,MDO/MGO,311027100,9764958
SEABOURN QUEST,MDO/MGO,311038900,9483126
SEABOURN SOJOURN,MDO/MGO,311492000,9417098
SEADREAM I,MDO/MGO,308908000,8203438
SEADREAM II,MDO/MGO,308311000,8203440
SERENADE OF THE SEAS,MDO/MGO,311492000,9228344
SERENISSIMA,MDO/MGO,,
SEVEN SEAS EXPLORER,MDO/MGO,,
SEVEN SEAS GRANDEUR,MDO/MGO,538010706,9877444
SEVEN SEAS MARINER,MDO/MGO,311622000,9210139
SEVEN SEAS NAVIGATOR,MDO/MGO,311050600,9064126
SEVEN SEAS SPLENDOR=,MDO/MGO,538007673,9807085
SEVEN SEAS VOYAGER,MDO/MGO,311513000,9247144
SILVER CLOUD,MDO/MGO,,
SILVER DAWN,MDO/MGO,311001044,9857937
SILVER MOON,MDO/MGO,311000719,9838618
SILVER MUSE,MDO/MGO,,
SILVER RAY,LNG,311001496,9886225
SILVER SPIRIT,MDO/MGO,311022500,9437866
SILVER WHISPER,MDO/MGO,308322000,9192179
SILVER WIND,MDO/MGO,,
SIRENA,MDO/MGO,538006842,9187899
SKY PRINCESS,MDO/MGO,310780000,9802396
SOVEREIGN,MDO/MGO,,
SPIRIT OF ADVENTURE,MDO/MGO,232026551,9818084
SPIRIT OF DISCOVERY,MDO/MGO,232021171,9802683
STAR BREEZE,MDO/MGO,,
STAR LEGEND,MDO/MGO,311085000,9008598
STAR PRIDE,MDO/MGO,311084000,8707343
SUN PRINCESS,MDO/MGO,310841000,9863118
TANIT,MDO/MGO,,
THOMSON CELEBRATION,MDO/MGO,,
THOMSON DREAM,MDO/MGO,,
THOMSON MAJESTY,MDO/MGO,,
TUI DISCOVERY 2,MDO/MGO,,
TUI DISCOVERY,MDO/MGO,,
VARIETY VOYAGER,MDO/MGO,,
VEENDAM,MDO/MGO,,
VENTURA,MDO/MGO,,
VIKING JUPITER,MDO/MGO,257058920,9796262
VIKING MARS,MDO/MGO,257800000,9833187
VIKING SATURN,MDO/MGO,258024000,9845922
VIKING SEA,MDO/MGO,258215000,9725421
VIKING SKY,MDO/MGO,259186000,9650420
VIKING STAR,MDO/MGO,257903000,9650418
VIKING SUN,MDO/MGO,,
VIKING VELA,MDO/MGO,,9852432
VIKING VENUS,MDO/MGO,257552000,9833175
VISION OF THE SEAS,MDO/MGO,,
VISTA,MDO/MGO,538009952,9876957
VOYAGER OF THE SEAS,MDO/MGO,311317000,9161716
WESTERDAM,MDO/MGO,,
WIND SPIRIT,MDO/MGO,309056000,8603509
WIND STAR,MDO/MGO,309163000,8420878
WIND SURF (crucero de vela),MDO/MGO,309242000,8700785
WORLD ODYSSEY,MDO/MGO,,
WORLD TRAVELLER,MDO/MGO,255806210,9904807
CARNIVAL FREEDOM,MDO/MGO,,
CARNIVAL PRIDE,MDO/MGO,,
CARNIVAL VENEZIA,MDO/MGO,,
CELEBRITY BEYOND,MDO/MGO,,
CELEBRITY EDGE,MDO/MGO,,
CRYSTAL SERENITY,MDO/MGO,,
ENCHANTED PRINCESS,MDO/MGO,,
ENCHANTMENT OF THE SEAS,MDO/MGO,,
LE BOUGAINVILLE,MDO/MGO,,
LE CHAMPLAIN,MDO/MGO,,
NORWEGIAN BREAKAWAY,MDO/MGO,,
NORWEGIAN GEM,MDO/MGO,,
 NORWEGIAN JADE,MDO/MGO,,
PACIFIC WORLD,MDO/MGO,,
QUEEN MARY 2,MDO/MGO,,
SCENIC ECLIPSE II,MDO/MGO,,
SEA CLOUD,MDO/MGO,,
SEABOURN PURSUIT,MDO/MGO,,
STAR CLIPPER,MDO/MGO,,
THE WORLD,MDO/MGO,,
VASCO DA GAMA,MDO/MGO,,
VALIANT LADY,MDO/MGO,,
WORLD NAVIGATOR,MDO/MGO,,
