VAIXELLNOM,MMSI,IMO,P_Main,P_aux,P_GT,Fuel
ABEL MATUTES,224402000,9441130,18000,2880,,LNG
ADONIA,248762000,9210220,13500,2160,30.277,MDO/MGO
ADVENTURE OF THE SEAS,311263000,9167227,75600,12096,137276,MDO/MGO
AEGEAN ODYSSEY,374757000,7225910,10154,1624.64,11.906,MDO/MGO
AIDAAURA,247117400,9221566,27150,4344,8968.880903,MDO/MGO
AIDABELLA,247229700,9362542,36000,5760,8665.533395,MDO/MGO
AIDABLU,247282500,9398888,36000,5760,4967.928724,MDO/MGO
AIDACARA,247117300,9112789,21720,3475.2,38531,MDO/MGO
AIDACOSMA,247435300,9781877,61800,9888,10337.60611,LNG
AIDADIVA,247187700,9334856,36000,5760,5731.394428,MDO/MGO
AIDALUNA,247255400,9334868,36000,5760,69203,MDO/MGO
AIDAMAR,247312900,9490052,36000,5760,71304,MDO/MGO
AIDANOVA,247389200,9781865,61800,9888,183858,LNG
AIDAPERLA,247385300,9636967,28409,4545.44,5330.58023,MDO/MGO
AIDAPRIMA,247353800,9636955,45000,7200,125572,BOTH
AIDASOL,247302900,9490040,36000,5760,71304,MDO/MGO
AIDASTELLA,247322800,9601132,32000,5120,8281.603395,MDO/MGO
AIDAVITA,247114900,9221554,27550,4408,42289,MDO/MGO
ALBATROS,308784000,7304314,12600,2016,1691.085352,MDO/MGO
ALLURA,538011254,9876969,12000,1920,67901,MDO/MGO
ALLURE OF THE SEAS,311020700,9383948,97020,15523,225.282,MDO/MGO
AMADEA,308445000,8913162,27400,4384,9281.043159,MDO/MGO
AMBIENCE,304909000,9356414,38800,6208,70285,LNG
AMERA,311000840,8700280,21120,3379,37845,MDO/MGO
AMSTERDAM,311000986,9188037,64000,10240,8726.01162,MDO/MGO
ANTHEM OF THE SEAS,311000274,9656101,67200,10752,9811.965906,MDO/MGO
ARCADIA,310459000,9226906,62610,16904.7,1295.637971,MDO/MGO
ARTANIA,311000608,8201480,36000,5760,10239.33602,MDO/MGO
ARVIA,232040520,9849693,61700,9872,10364.72248,LNG
ASTOR,308214000,8506373,15400,2464,20704,MDO/MGO
ASTORIA,255801380,5383304,10700,1712,12016.42828,MDO/MGO
